epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6048,2.0128,1.75106,1.4518,0.42416,0.4995,0.35407,0.1569,1.89265,2.34517,1.46427,0.0673402,0.000329897,0.000329897
2,38.1554,1.85809,1.43701,1.36131,0.7114,0.55051,0.63735,0.30927,1.79396,1.38608,1.44832,0.0343271,0.000650098,0.000650098
3,55.8158,1.84348,1.40404,1.36297,0.64195,0.58126,0.62099,0.28209,1.87416,1.36576,1.46651,0.00130074,0.0009571,0.0009571
4,74.2987,1.86378,1.42488,1.37745,0.65848,0.59206,0.65757,0.31418,1.7317,1.56363,1.38238,0.0009406,0.0009406,0.0009406
5,91.6017,1.80141,1.34343,1.33977,0.68148,0.65703,0.69784,0.33479,1.79455,1.2081,1.43548,0.0009208,0.0009208,0.0009208
6,108.644,1.75968,1.28881,1.30825,0.75393,0.51844,0.61676,0.29107,1.81352,1.30588,1.40554,0.000901,0.000901,0.000901
7,125.344,1.73158,1.23972,1.29783,0.75902,0.66999,0.74478,0.3734,1.74389,1.11563,1.38552,0.0008812,0.0008812,0.0008812
8,144.051,1.70367,1.19174,1.27607,0.74671,0.65404,0.72793,0.34721,1.81407,1.13648,1.42064,0.0008614,0.0008614,0.0008614
9,163.637,1.70533,1.20576,1.28812,0.76796,0.62812,0.73291,0.37315,1.72232,1.13634,1.37797,0.0008416,0.0008416,0.0008416
10,180.942,1.69435,1.18384,1.25686,0.7899,0.68794,0.77097,0.39392,1.68014,1.07843,1.33521,0.0008218,0.0008218,0.0008218
11,197.971,1.64795,1.10505,1.24469,0.77588,0.63609,0.72972,0.35153,1.7794,1.10611,1.37985,0.000802,0.000802,0.000802
12,214.851,1.59803,1.07572,1.22925,0.79363,0.65703,0.76341,0.39638,1.68119,1.08698,1.33873,0.0007822,0.0007822,0.0007822
13,231.493,1.58811,1.06839,1.23382,0.82527,0.67597,0.7886,0.4114,1.67829,1.01008,1.33698,0.0007624,0.0007624,0.0007624
14,249.461,1.55839,1.02725,1.21475,0.79715,0.72482,0.79344,0.4182,1.66619,0.98521,1.33412,0.0007426,0.0007426,0.0007426
15,270.111,1.55285,1.0122,1.20419,0.84394,0.70088,0.80716,0.43185,1.65386,0.96637,1.32646,0.0007228,0.0007228,0.0007228
16,290.147,1.52175,0.99572,1.19289,0.8376,0.71884,0.81452,0.41979,1.67962,0.95868,1.3588,0.000703,0.000703,0.000703
17,306.466,1.52043,0.97237,1.1986,0.81645,0.72383,0.81631,0.43458,1.65843,0.99536,1.32518,0.0006832,0.0006832,0.0006832
18,323.116,1.4978,0.95384,1.1847,0.81101,0.72582,0.79685,0.40704,1.68723,0.95796,1.33849,0.0006634,0.0006634,0.0006634
19,339.879,1.48908,0.94082,1.17432,0.85881,0.7328,0.83129,0.44025,1.65632,0.91889,1.32026,0.0006436,0.0006436,0.0006436
20,357.111,1.4662,0.91336,1.16722,0.84759,0.7338,0.83481,0.44541,1.60478,0.91124,1.29297,0.0006238,0.0006238,0.0006238
21,375.26,1.43157,0.87321,1.15895,0.83868,0.78265,0.85423,0.45338,1.63109,0.87414,1.31674,0.000604,0.000604,0.000604
22,393.143,1.4273,0.86602,1.14238,0.84066,0.77326,0.85727,0.46352,1.59363,0.85965,1.28847,0.0005842,0.0005842,0.0005842
23,411.645,1.41352,0.84576,1.14949,0.82557,0.75974,0.84151,0.44835,1.64459,0.89542,1.31842,0.0005644,0.0005644,0.0005644
24,429.571,1.41765,0.857,1.13697,0.83671,0.78863,0.8441,0.43115,1.70076,0.86101,1.33969,0.0005446,0.0005446,0.0005446
25,447.077,1.36842,0.84206,1.12712,0.83877,0.76245,0.84872,0.45959,1.63184,0.87923,1.31284,0.0005248,0.0005248,0.0005248
26,465.838,1.35817,0.80417,1.11514,0.84685,0.74977,0.84071,0.44124,1.65747,0.88715,1.32125,0.000505,0.000505,0.000505
27,482.798,1.33218,0.80166,1.11245,0.8564,0.72541,0.82719,0.43559,1.68256,0.91394,1.33106,0.0004852,0.0004852,0.0004852
28,499.613,1.32912,0.78395,1.10361,0.82116,0.74277,0.83396,0.4506,1.62083,0.88423,1.3105,0.0004654,0.0004654,0.0004654
29,516.429,1.2882,0.74745,1.08247,0.83879,0.76869,0.8547,0.45344,1.61114,0.85718,1.30482,0.0004456,0.0004456,0.0004456
30,533.331,1.29476,0.75272,1.08919,0.84095,0.74576,0.8348,0.43567,1.67658,0.87199,1.33621,0.0004258,0.0004258,0.0004258
31,550.484,1.28752,0.73031,1.07929,0.83372,0.78982,0.85896,0.46512,1.60948,0.84523,1.30433,0.000406,0.000406,0.000406
32,567.86,1.26187,0.73297,1.07233,0.83035,0.80517,0.86681,0.46562,1.61021,0.82222,1.30405,0.0003862,0.0003862,0.0003862
33,585.088,1.24219,0.71061,1.07858,0.83935,0.77767,0.86035,0.46306,1.62885,0.83942,1.32805,0.0003664,0.0003664,0.0003664
34,602.594,1.21926,0.68367,1.05234,0.86198,0.77966,0.86333,0.46008,1.63163,0.81838,1.33165,0.0003466,0.0003466,0.0003466
35,622.501,1.22487,0.68567,1.06765,0.85277,0.77379,0.86552,0.47498,1.59704,0.80232,1.30315,0.0003268,0.0003268,0.0003268
36,643.144,1.21157,0.6851,1.06587,0.85679,0.79761,0.87271,0.47556,1.60313,0.7936,1.31066,0.000307,0.000307,0.000307
37,664.031,1.19463,0.66183,1.04058,0.86258,0.79478,0.87885,0.4686,1.64159,0.80327,1.32487,0.0002872,0.0002872,0.0002872
38,682.766,1.1675,0.65805,1.0413,0.84038,0.80459,0.86564,0.48013,1.60612,0.80603,1.31228,0.0002674,0.0002674,0.0002674
39,699.383,1.15645,0.65188,1.03842,0.87612,0.80259,0.88244,0.48022,1.58999,0.7974,1.29341,0.0002476,0.0002476,0.0002476
